id,pdf,image,clicks,impressions,text,url,spend_amount,spend_currency,created,ended
18,data/2015-11/P(1)0001757.pdf,images/0018.png,0,0,"What do you know about PTSD? There is no greater agony. PTSD affects a
person's memory, emotional responses, intellectual processes and nervous
system. Nearly 31% of veterans fight this agony every day. Do you want to
learn more? Click here! Veterans USA ( @veterans GovSpending

",https://instagram.Com/veterans_us/,0.00,USD,2015-11-19T05:18:16-08:00,2015-11-21T10:28:00-08:00
19,data/2015-11/P(1)0001759.pdf,images/0019.png,8,2115,"Who will save the Children? Click Learn more! The US Gov Spending Stats
Instalol

",https://instagram.Com/gov_spending/,978.15,RUB,2015-11-19T05:35:36-08:00,
20,data/2015-12/P(1)0006446.pdf,images/0020.png,0,514,"Click Learn More if you really love your country! A small puppy wandered up
to US. Marines from Alpha Company. After following the Marines numerous
miles, a soft hearted Marine picked the puppy up and carried the puppy in his
drop pouch. Veterans USA ( @veterans GovSpending

",https://www.instagram.Com/veterahs_us/,0.00,USD,2015-12-16T04:26:55-08:00,
21,data/2015-11/P(1)0001761.pdf,images/0021.png,73,8292,"Throughout the history of our nation, there have been many wars. The
soldiers have always carried the burden of death or injury while in battles.
Politicians continually act as if the soldiers are their pawns, and their soldier
pawns are expendable in war. Hence, we have the saddest statistics of
military injuries. 1 out of 10 veterans is disabled, often by injuries sustained in
combat. Join us! Learn more! Veterans USA ( @veterans GovSpending

",https://instagram.Com/veterans_us/,2948.52,RUB,2015-11-13T06:27:35-08:00,
22,data/2015-12/P(1)0001763.pdf,images/0022.png,32,9555,"Click learn more! See the latest breaking news photos and videos! Black
America Blacklivessss

",https://www.instagram.com/black_america_today/,1550.41,RUB,2015-12-01T07:37:28-08:00,
23,data/2016-04/P(1)0001765.pdf,images/0023.png,6,10785,"TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you
want illegals in Texas.
Comments, photos, and videos are welcomed!

",https://www.facebook.com/GovSpending-1651761351759857/,806.09,RUB,2016-04-19T08:23:46-07:00,
24,data/2016-04/P(1)0000005.pdf,images/0024.png,9,77759,"TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you
want illegals in Texas.
Comments, photos, and videos are welcomed!

",https://www.facebook.com/GovSpending-1651761351759857/,6618.25,RUB,2016-04-20T00:07:11-07:00,
25,data/2015-11/P(1)0000007.pdf,images/0025.png,35,3970,"Homeland of brave. Support our veterans! Join us! Veterans USA
GovSpending

",https://instagram.Com/veterans_us/,1401.80,RUB,2015-11-09T05:01:08-08:00,
26,data/2015-12/P(1)0001767.pdf,images/0026.png,6,1721,"Home of the Brave. Support our Veterans! Click Learn More! Veterans USA (
@veterans GovSpending

",https://www.instagram.Com/veterans_us/,898.36,RUB,2015-12-01T05:51:31-08:00,
27,data/2015-11/P(1)0001769.pdf,images/0027.png,6,2616,"Why our government wastes $11 MLN per day on |S|L Instead of saving more
than 1300 lives of vets. Why do we engage in another conflict when we have

so many unsolved problems in the US?

It is a shame that our vets are treated so badly. They do not receive proper
health care and unemployment benefits. They do not receive the respect they
deserve. I do not want our government to create new veterans in such

conditions.
Join us for more statistics! Click learn more! The US Gov Spending Stats

Instalol
",https://instagram.Com/gov_spending/,467.12,RUB,2015-11-18T03:33:41-08:00,2015-11-19T08:26:00-08:00
28,data/2015-12/P(1)0001771.pdf,images/0028.png,46,15398,"How to know the truth? Click learn more! Wouldn't it be better to solve the
internal problems first? The US Gov Spending Stats Instalol

",https://www.instagram.Com/gov_spending/,2070.42,RUB,2015-12-16T06:45:58-08:00,
29,data/2015-11/P(1)0000009.pdf,images/0029.png,33,3527,"What do you know about PTSD? Do you know that US Military deaths since
1999 count 6,904, while veterans suicides since 1999 account for 128,480?
We'are losing 18 times more warriors in Civilian life than on the battlefields!
Learn more! Follow us! Veterans USA ( @veterans GovSpending

",https://instagram.Com/veterans_us/,1506.21,RUB,2015-11-12T04:38:35-08:00,
30,data/2015-11/P(1)0000011.pdf,images/0030.png,0,0,"Click learn more! People don't want to look at the homeless. But maybe they
will look at, or think about, or support dealing with homelessness once they
know that 12% of the homeless adult population are veterans. Join us!
Veterans USA ( @veterans GovSpending

",https://instagram.Com/veterans_us/,0.00,USD,2015-11-19T05:20:22-08:00,2015-11-21T10:28:00-08:00
31,data/2016-03/P(1)0001773.pdf,images/0031.png,235,23670,"Quiz from EBONY magazine April 1952. Which is Negro? Which is White?
Passing for white is a direct consequence of how race works in America.
Because of the One Drop Rule if you look at all part black African you are
seen as “black” by “whites” and suffer all the racism that goes with that.
Click ""Learn More"" Black America ( @black Blacklivessss

",https://www.instagram.com/black_america_today/,4040.17,RUB,2016-03-11T04:54:05-08:00,
32,data/2016-08/P(1)0000013.pdf,images/0032.png,375,12727,"Heritage not hate y'all! Our flag has nothing to do with racism! The Federal
Government shouldn’t be able to dictate what we can and cannot do. Go
follow Confederate page #1 on Instagram south united if you are proud of our
southern heritage. God bless Dixie! Confederate page #1 on Instagram! No
racism, no hate! The south will rise again!
https://twitter.com/March_for_Trump South United GovSpehding

",https://www.instagram.com/south_united/,3106.28,RUB,2016-08-18T08:31:16-07:00,
33,data/2015-12/P(1)0001775.pdf,images/0033.png,6,2404,"Unbelievable amount of the US government's waste. Click Learn More! The
US Gov Spending Stats GovSpending

",https://instagram.Com/gov_spending/,950.00,RUB,2015-12-01T05:57:42-08:00,
34,data/2016-05/P(1)0001777.pdf,images/0034.png,0,0,"A Wounded Warrior and his service dog. Support our Veterans - Follow! Black
America ( @black Instalol

",https://www.instagram.Com/veterans_us/,0.00,USD,2016-05-12T02:31:30-07:00,
35,data/2016-01/P(1)0001779.pdf,images/0035.png,0,0,"There are some people who will always support you! And unfortunately, the
VA is not on the list. There are numerous examples of disgusting treatment of
our Veterans by the VA employees. And there is little Chance the situation will
Change in the near future. The failure of the Defense Department and VA to
create a joint electronic health record, despite spending $1 billion for

development is just another example of it. Click Learn More! Veterans USA (
@veterans GovSpending

",https://www.instagram.Com/veterahs_us/,0.00,USD,2016-01-14T06:25:20-08:00,
36,data/2016-01/P(1)0000015.pdf,images/0036.png,496,143644,"He's lucky to return home to reunite with his family for the holidays. But he's
just one of a few servicemen to do this. For many of our brave troops
stationed abroad and far from their loved ones. Our brave servicemen and
servicewomen will continue to make sacrifices for our great country while the
VA employees will be having their dinner and laughing at the VA backlog.
Click to Learn More! Veterans USA ( @veterans GovSpending

",https://www.instagram.com/veterans_usl,8339.12,RUB,2016-01-14T07:18:30-08:00,
37,data/2015-12/P(1)0001781.pdf,images/0037.png,216,56837,"Join us to learn more! Why aren't white hoods and white supremacist
propaganda illegal here in America? Why are Germans ashamed of their
bigotry, while America is proud of it? Black America ( @black

",https://www.instagram.com/black_america_today/,4030.81,RUB,2015-12-22T03:42:46-08:00,
38,data/2016-01/P(1)0001783.pdf,images/0038.png,95,24866,"Join us to learn more! Why aren't white hoods and white supremacist
propaganda illegal here in America? Why are Germans ashamed of their
bigotry, while America is proud of it? Black America ( @black Blacklivessss

",https://www.instagram.com/black_america_today/,1796.49,RUB,2016-01-06T01:45:12-08:00,
39,data/2016-01/P(1)0001785.pdf,images/0039.png,300,95140,"Join us to learn more! Why aren't white hoods and white supremacist
propaganda illegal here in America? Why are Germans ashamed of their
bigotry, while America is proud of it? Black America ( @black Blacklivessss

",https://www.instagram.com/black_america_today/,9160.88,RUB,2016-01-14T06:07:11-08:00,
40,data/2016-01/P(1)0000017.pdf,images/0040.png,25,12476,"Let's make America great again for the future generations! Click Learn More!
Veterans USA ( @veterans GovSpending

",https://www.instagram.com/veterans_us/,1203.51,RUB,2016-01-06T03:11:48-08:00,
41,data/2016-06/P(1)0001787.pdf,,479,7190,"gather recent videos about outrageous police misconduct, really valuable
ones but underrepresented by mass media.

",https://www.facebook.com/BIacklivessss-930158090385628/,5270.00,RUB,2016-06-15T02:14:28-07:00,
42,data/2016-06/P(1)0000019.pdf,,266,22608,"If we ever forget that we are One Nation Under God, then we will be a nation
gone under. Ronald Reagan

",https://www.facebook.com/Bat-240131319678646/,6015.85,RUB,2016-06-15T04:02:09-07:00,
43,data/2015-10/P(1)0001788.pdf,images/0043.png,0,0,"Together we can stop them. Join the fight. Follow @COp_b|OCk_US Cop block
is a grassroots organization working to make police accountable for their
actions. Cop Block Us (@COp_b|OCk_US) - Instagram photos and videos

",https://instagram.Com/Cop_block_us,0.00,USD,2015-10-13T02:27:35-07:00,2015-10-15T23:59:59-07:00
44,data/2015-10/P(1)0001790.pdf,images/0044.png,0,0,"You can go to hell or follow @south_lone_star instead! Texas is where you
always want to be! We are Texans and we're not like the rest! Follow us! Lone
Star State Rebels (@south_lone_star) - Instagram photos and videos

",https://instagram.Com/south_lone_star,0.00,USD,2015-10-13T01:34:37-07:00,2015-10-15T23:59:59-07:00
45,data/2017-05/P(1)0001792.pdf,images/0045.png,0,0,"We always condemn racism and terrorism because they only affect the poor
and less privilege in society. So don't be fooled into making this mistake: The
war in Syria is just another rich white man's way to profit at the cost of
innocent lives... and yes, Flint is stillwithout Clean water.

#wokeblacks #PanAfricanism #BlackNationalism #BlackEmpowerment
#AfricanEmpowermeht #AfricanAndProud #BlaCkAndProud #BlackPride
#BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack
#UnapologeticallyAfrican #BlacklhAmerica #BIackIsBeautiful #KnowThySelf
#KnowledgeOfSelf #KnowledgeOfSelflsANationality
#EconomicEmpowerment #IhtegrationFailed #WhiteLiesMatter #Education
#AfricanUnification #AfricanUnity #BlackLove #theblackmancan #brotherhood
#kings

",https://www.facebook.com/Woke-B|acks-294234600956431/,0.00,USD,2017-05-25T00:25:16-07:00,2017-05-26T00:25:16-07:00
46,data/2015-07/P(1)0001794.pdf,images/0046.png,0,0,"Obey the law and everything will be ok, they say
",https://www.facebook.com/shootusa,0.00,USD,2015-07-27T00:42:42-07:00,2015-07-28T00:42:41-07:00
47,data/2015-07/P(1)0001796.pdf,images/0047.png,0,0,"Obey the law and everything will be ok, they say
",https://www.facebook.com/shootusa,0.00,USD,2015-07-24T02:24:10-07:00,2015-07-25T02:24:09-07:00
48,data/2015-08/P(1)0000020.pdf,images/0048.png,0,0,,https://www.facebook.com/pages/Proud-BIacks/1065511110127506,0.00,USD,2015-08-13T03:30:11-07:00,2015-08-14T03:30:11-07:00
49,data/2016-06/P(1)0001798.pdf,,716,4405,"The head of Chicago’s IPRA, Sharon Fairley, has recommended an on-duty
officer to be fired for calling President Obama a n****r. According to Chicago
Sun-Times, the racist remark was made during a meeting to decide on “who
would cover the president’s detail for a Bulls game”. The Independ Chicago
Cop To Be Fired For Calling Obama N-Word | Black Matters Black Matters

",https://www.facebook.com/BlaCk-Matters-1579673598947501/,782.22,RUB,2016-06-20T08:22:58-07:00,
50,data/2016-06/P(1)0000022.pdf,images/0050.png,6555,92618,"Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County
probation officers brutalize teen in detention center. Fox News Hosts Believe
Charleston Shooting Wasn’t Hate Crime “Fox & Friends” hosts declare that
the shooting was motivated by religious hatred towards Christians, but not
racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A
mobile police officer fatally shot a 19-year-old black teen, Michael Moore,
during a traffic stop Monday, June 13 in Toulminville, Alabama. Black Matters

",https://blackmattersus.com/,13458.49,RUB,2016-06-21T07:09:02-07:00,
51,data/2016-07/P(1)0000024.pdf,images/0051.png,393,12653,"Get breaking news and analysis on the life of African American community in
the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
County probation officers brutalize teen in detention center. Fox News Hosts
Believe Charleston Shooting Wasn’t Hate Crime “Fox & Friends” hosts
declare that the shooting was motivated by religious hatred towards
Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
Holding Cellphone A mobile police officer fatally shot a 19-year-old black
teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
Alabama. Black Matters

",https://b|ackmattersus.com/?utm_source=facebook&utm_medium=Cpc&utm,1168.31,RUB,2016-07-06T07:18:32-07:00,
52,data/2016-06/P(1)0001799.pdf,,724,4544,"The head of Chicago’s IPRA, Sharon Fairley, has recommended an on-duty
officer to be fired for calling President Obama a n****r. According to Chicago
Sun-Times, the racist remark was made during a meeting to decide on “who
would cover the president’s detail for a Bulls game”. The Independ Chicago
Cop To Be Fired For Calling Obama N-Word | Black Matters Black Matters

",https://www.facebook.com/BlaCk-Matters-1579673598947501/,847.19,RUB,2016-06-20T08:03:12-07:00,
53,data/2015-07/P(1)0001800.pdf,images/0053.png,0,0,"Join us because we care. Black Matters!
",https://www.facebook.com/blackmattersus/,0.00,USD,2015-07-13T07:13:40-07:00,
54,data/2015-07/P(1)0001802.pdf,images/0054.png,12127,201428,"Join us because we care. Black Matters!
",https://www.facebook.com/blackmattersus/,53424.95,RUB,2015-07-13T07:20:58-07:00,
55,data/2015-10/P(1)0001804.pdf,images/0055.png,73,812,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,214.45,RUB,2015-10-06T08:22:34-07:00,
56,data/2015-11/P(1)0001806.pdf,images/0056.png,211,3251,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,731.77,RUB,2015-11-05T23:17:06-08:00,
57,data/2016-07/P(1)0001808.pdf,images/0057.png,304,7457,"Stand up, South Carolina! Let’s stop the propaganda of hate and white
supremacy! Not My Heritage

",https://www.facebook.com/events/1730167210590258/,4670.00,RUB,2016-07-21T05:32:28-07:00,2016-07-23T05:32:25-07:00
58,data/2015-10/P(1)0001810.pdf,images/0058.png,2446,16322,"Black Matters. Black community.
",https://www.facebook.com/blackmattersus/,4798.09,RUB,2015-10-06T08:25:00-07:00,
59,data/2015-11/P(1)0001812.pdf,images/0059.png,24838,359345,"Black Matters. Black community.
",https://www.facebook.com/blackmattersus/,58408.48,RUB,2015-11-05T23:17:06-08:00,
60,data/2015-10/P(1)0001814.pdf,images/0060.png,113,967,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,317.56,RUB,2015-10-06T08:22:34-07:00,
61,data/2015-11/P(1)0001816.pdf,images/0061.png,10292,115604,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,34501.08,RUB,2015-11-05T23:17:06-08:00,
62,data/2016-06/P(1)0001818.pdf,images/0062.png,2182,42890,"One year ago nine people were killed by a gunman, including the senior
pastor, state senat Remember Victims of Charleston Shooting

",https://www.facebook.com/events/257074994652475/,14398.69,RUB,2016-06-01T06:03:23-07:00,2016-06-19T06:03:19-07:00
63,data/2016-06/P(1)0000026.pdf,images/0063.png,0,0,"Get breaking news and analysis on the life of African American community in
the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A.
County probation officers brutalize teen in detention center. Fox News Hosts
Believe Charleston Shooting Wasn’t Hate Crime “Fox & Friends” hosts
declare that the shooting was motivated by religious hatred towards
Christians, but not racism. Brutal Alabama Cop Fatally Shoots Black Teen
Holding Cellphone A mobile police officer fatally shot a 19-year-old black
teen, Michael Moore, during a traffic stop Monday, June 13 in Toulminville,
Alabama. Black Matters

",https://b|ackmattersus.com/,0.00,USD,2016-06-21T07:08:44-07:00,
64,data/2015-07/P(1)0001820.pdf,images/0064.png,25,500,"Join us. Because we care
",https://www.facebook.com/BlaCk-Matters-1579673598947501/,340.34,RUB,2015-07-10T01:03:31-07:00,
65,data/2016-08/P(1)0001822.pdf,images/0065.png,1734,41395,"Two years have passed since August 11, 2014, the date, when 25-year-old
Ezell Ford was mur Justice For Ezell Ford And Donnell Thompson

",https://www.facebook.com/events/1702267153358101/,14881.75,RUB,2016-08-04T07:25:31-07:00,2016-08-20T07:25:28-07:00
66,data/2016-05/P(1)0001824.pdf,images/0066.png,0,3,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death

",https://www.facebook.com/events/1727519624184050/,0.82,RUB,2016-05-06T01:00:41-07:00,
67,data/2016-05/P(1)0001826.pdf,images/0067.png,804,13066,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death

",https://www.facebook.com/events/1727519624184050/,1714.83,RUB,2016-05-06T02:21:24-07:00,
68,data/2016-05/P(1)0001828.pdf,images/0068.png,2546,54836,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death

",https://www.facebook.com/events/1727519624184050/,9192.47,RUB,2016-05-10T01:31:35-07:00,
69,data/2016-05/P(1)0001830.pdf,images/0069.png,314,8376,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death

",https://www.facebook.com/events/1727519624184050/,1505.34,RUB,2016-05-16T07:59:50-07:00,
70,data/2016-05/P(1)0001832.pdf,images/0070.png,442,10089,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death

",https://www.facebook.com/events/1727519624184050/,2570.85,RUB,2016-05-17T00:21:13-07:00,
71,data/2016-03/P(1)0001834.pdf,images/0071.png,2317,77530,"Breaking news and analysis on the life of African American community in the
US! Independent News For Black Amrican community Black Matters Black
Matters

",https://blackmattersus.com/,6691.62,RUB,2016-03-10T06:26:39-08:00,
72,data/2016-02/P(1)0001836.pdf,images/0072.png,75,2461,"Black Community! We finally made a website! News about black racial and

social issues. This happened yesterday, Feb. 2, at a dry Cleaning shop in a
black neighborhood, when this black guy went for his Clothes he had already

sent for laundry. “What do you mean by you people?” The black guy asked.
There was a murmur from inside the shop; the dry Cleaner answered “those

who are arguing m... Black Matters The Police should protect not Brutalize
Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight
racism in the ranks. Black History Month The event grew out of “Negro
History Week,” the brainchild Black Matters

",https://b|ackmattersus.oom/,392.14,RUB,2016-02-04T00:28:15-08:00,
73,data/2016-02/P(1)0001838.pdf,images/0073.png,6282,141500,"Black Community! We finally made a website! News about black racial and

social issues. This happened yesterday, Feb. 2, at a dry Cleaning shop in a
black neighborhood, when this black guy went for his Clothes he had already

sent for laundry. “What do you mean by you people?” The black guy asked.
There was a murmur from inside the shop; the dry Cleaner answered “those

who are arguing m... Black Matters The Police should protect not Brutalize
Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight
racism in the ranks. Black History Month The event grew out of “Negro
History Week,” the brainchild Black Matters

",https://b|ackmattersus.oom/,24165.80,RUB,2016-02-04T23:54:33-08:00,
74,data/2016-04/P(1)0001840.pdf,images/0074.png,1805,42072,"Black Community! We finally made a website! News about black racial and
social issues. This happened yesterday, Feb. 2, at a dry Cleaning shop in a
black neighborhood, when this black guy went for his Clothes he had already

sent for laundry. “What do you mean by you people?” The black guy asked.
There was a murmur from inside the shop; the dry Cleaner answered “those
who are arguing m... Black Matters The Police should protect not Brutalize
Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight
racism in the ranks. Black History Month The event grew out of “Negro
History Week,” the brainchild Black Matters

",https://b|ackmattersus.oom/,10676.85,RUB,2016-04-25T05:36:07-07:00,
75,data/2016-05/P(1)0000028.pdf,images/0075.png,0,0,"Black Community! We finally made a website! News about black racial and
social issues. Get breaking news and analysis on the life of African American
community in the US. Black Matters Hillary Doesn’t Deserve Black Votes
Young black voters give up on Mrs. Clinton Outraged Flint Resident: “Lawsuit
Must Be Filed Against State!” Flint Water Crisis touched the feelings of all
Americans and the whole world. Justice For Aiyana Jones Rally The tragic
death of Aiyana Jones, a 7-year-old African-Amerioan fatally shot by a Detroit
police officer 4 Officers, Who Shot Jeremy MoDoIe, Won’t Face State
Charges, Family Protests In Wilmington Friday The tragic alleged murder of
Jeremy McDole happened last September after he had been “robbed and
shot by an unknown robber,” Black Girl Gets Rope Burns During A Camping
Trip When Sandy Rougely’s 12-year-old daughter returned from a one day
camping trip on April 28, Sandy was shocked to see a horrible rope burn on
the front side of the kid’s heck. Black Matters

",https://b|ackmattersus.oom/,0.00,USD,2016-05-23T08:02:51-07:00,
76,data/2016-05/P(1)0000030.pdf,images/0076.png,3402,89836,"Black Community! We finally made a website! News about black racial and
social issues. Get breaking news and analysis on the life of African American
community in the US. Black Matters Hillary Doesn’t Deserve Black Votes
Young black voters give up on Mrs. Clinton Outraged Flint Resident: “Lawsuit
Must Be Filed Against State!” Flint Water Crisis touched the feelings of all
Americans and the whole world. Justice For Aiyana Jones Rally The tragic
death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
police officer 4 Officers, Who Shot Jeremy McDole, Won’t Face State
Charges, Family Protests In Wilmington Friday The tragic alleged murder of
Jeremy McDole happened last September after he had been “robbed and
shot by an unknown robber,” Black Matters

",https://b|ackmattersus.com/,14182.61,RUB,2016-05-24T00:19:06-07:00,
77,data/2016-06/P(1)0000032.pdf,images/0077.png,0,0,"Black Community! We finally made a website! News about black racial and
social issues. Get breaking news and analysis on the life of African American
community in the US. Black Matters Hillary Doesn’t Deserve Black Votes
Young black voters give up on Mrs. Clinton Outraged Flint Resident: “Lawsuit
Must Be Filed Against State!” Flint Water Crisis touched the feelings of all
Americans and the whole world. Justice For Aiyana Jones Rally The tragic
death of Aiyana Jones, a 7-year-old African-American fatally shot by a Detroit
police officer 4 Officers, Who Shot Jeremy McDole, Won’t Face State
Charges, Family Protests In Wilmington Friday The tragic alleged murder of
Jeremy McDole happened last September after he had been “robbed and
shot by an unknown robber,” Black Matters

",https://b|ackmattersus.com/,0.00,USD,2016-06-16T01:21:05-07:00,
78,data/2016-06/P(1)0001842.pdf,images/0078.png,1739,44405,"Black Community! We finally made a website! News about black racial and
social issues. Get breaking news and analysis on the life of African American
community in the US. Black Matters Chicago IPRA Finally Gets Dashcam
Video Of Darius Pinex Shooting It took over five years for the IPRA to get the
key evidence in the fatal police shooting of a black Chicago man committed in
2011. Orlando Nightclub Massacre And The Race Factor Orlando tragedy
shed light on how hate and terrorism can destroy innocent lives within a
matter of seconds. Pepper-Sprayed Victim Donates $100K Settlement To
Social Justice A Seattle high school history teacher Jesse Hagopian, pepper-
sprayed by police, says he’ll donate the $100K settlement to help movement
forjustice. NYPD Cop Pulls A Gun On Black Cyclist In Fender-Bender A
21-year-old black cyclist plans to sue a white NYPD police officer for
threatening his life by pointing a gun at him during a fender-bender. Black
Matters

",https://b|ackmattersus.com/,5940.92,RUB,2016-06-16T01:32:37-07:00,
79,data/2015-06/P(1)0001844.pdf,images/0079.png,0,31,,https://www.facebook.com/pages/L-for-Iife/994910227187446,33.59,RUB,2015-06-09T03:50:21-07:00,2015-06-11T03:48:00-07:00
80,data/2015-10/P(1)0001846.pdf,images/0080.png,1393,10825,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,3364.59,RUB,2015-10-06T08:22:32-07:00,
81,data/2015-11/P(1)0001848.pdf,images/0081.png,738,7808,"Fast-growing black community. Latest news and everyday updates!
",https://www.facebook.com/blackmattersus/,2796.95,RUB,2015-11-05T23:17:06-08:00,
82,data/2015-07/P(1)0001850.pdf,images/0082.png,6,191,"Fast-growing black community. Latest news and everyday updates.

",https://www.facebook.com/BlaCk-Matters-1579673598947501/,257.25,RUB,2015-07-10T01:02:58-07:00,
83,data/2015-07/P(1)0001852.pdf,images/0083.png,30,613,"Join us. Because we care
",https://www.facebook.com/BlaCk-Matters-1579673598947501/,468.00,RUB,2015-07-10T01:03:32-07:00,
84,data/2015-10/P(1)0001854.pdf,images/0084.png,1838,14050,"Black Matters. Black community.
",https://www.facebook.com/blackmattersus/,3760.42,RUB,2015-10-06T08:24:58-07:00,
85,data/2015-11/P(1)0001856.pdf,images/0085.png,10547,105431,"Black Matters. Black community.
",https://www.facebook.com/blackmattersus/,35240.34,RUB,2015-11-05T23:17:06-08:00,
86,data/2016-08/P(1)0001858.pdf,images/0086.png,75,2920,"Two years have passed since August 11, 2014, the date, when 25-year-old
Ezell Ford was mur Justice For Ezell Ford and Donnell Thompson

",https://www.facebook.com/events/1051176154917933/,3529.26,RUB,2016-08-22T07:04:52-07:00,2016-09-03T07:04:49-07:00
87,data/2016-08/P(1)0001860.pdf,images/0087.png,180,6368,"Two years have passed since August 11, 2014, the date, when 25-year-old
Ezell Ford was mur Justice For Ezell Ford and Donnell Thompson

",https://www.facebook.com/events/1051176154917933/,7110.11,RUB,2016-08-23T04:11:38-07:00,2016-09-03T07:04:49-07:00
88,data/2016-08/P(1)0001862.pdf,images/0088.png,236,5289,"Two years have passed since August 11, 2014, the date, when 25-year-old
Ezell Ford was mur Justice For Ezell Ford and Donnell Thompson

",https://www.facebook.com/events/1051176154917933/,6003.52,RUB,2016-08-26T04:19:56-07:00,2016-09-03T07:04:49-07:00
